M, COHEN, Frédéric, M7, 8151
M, JULLIEN, Mathieu, ELITE_2, 6023
M, MARCHAND, Emile, M5, 4273
M, CHATELET, Guillaume, M7, 3923
M, DEMARET, Paul, M8, 4941
M, LE, Xavier, M9, 7734
M, PIRES, Fabien, M4, 10049
M, RIZZO, Jean-claude, M8, 10759
M, BRUNEAU, Sébastien, ELITE_1, 4080
M, SEGUIN, Eric, M9, 6135
M, ROUSSEL, Julien, M9, 8999
M, BOUTET, André, ELITE_2, 6418
M, CLAUDE, Julien, M9, 9356
M, RIPOLL, Jérôme, M7, 10684
M, GONTIER, Gilles, M5, 6480
M, COUTURE, Georges, M6, 9759
M, ANQUETIL, Kevin, M2, 5643
M, MARAIS, Franck, ELITE_2, 6963
M, THIBAUD, Marcel, M4, 7833
M, LEMAIRE, Cédric, M6, 7542
M, MASSE, Michel, M5, 4054
M, CHARVET, Marc, ELITE_2, 4104
M, DEVOS, Florian, M7, 9242
M, SUTTER, Henri, M1, 10718
M, POUGET, Jean-michel, M9, 9888
M, ROTH, Guy, M1, 9682
M, TROUVE, Henri, M7, 8992
M, BRAUN, Marc, M8, 8678
M, SAUNIER, David, M4, 5837
M, HABERT, Arnaud, M3, 9902
M, BARRIERE, Marc, ELITE_2, 7502
M, LE, Ludovic, M9, 6102
M, DOUCET, Claude, M5, 6017
M, NOURRY, Alexandre, M3, 4160
M, PRUDHOMME, Henri, M5, 10782
M, VILLENEUVE, Jean-françois, M7, 6866
M, SALOMON, Patrice, ELITE_2, 6625
M, LEFEBVRE, Grégory, M7, 6538
M, FOSSE, Dominique, M9, 9512
M, VIGOUROUX, Guy, M4, 5766
M, BOISSON, Anthony, M3, 5871
M, MARX, Kevin, M2, 6645
M, COUSIN, Mathieu, M6, 8440
M, SABY, Mickaël, M9, 10592
M, JEZEQUEL, Henri, M5, 10178
M, RENAUD, Daniel, M3, 10175
M, BOIVIN, Serge, M9, 8308
M, PACAUD, Francis, M9, 8783
M, LAVAL, René, M3, 4950
M, CHEREAU, Marc, M8, 10706
M, SEGUIN, Alexis, ELITE_2, 10787
M, BARTH, Jean-françois, M4, 7233
M, GAUTHIER, Jean-michel, ELITE_2, 4935
M, MALET, Pierre, M4, 3675
M, EYRAUD, Henri, M1, 10450
M, CHOLLET, Daniel, ELITE_2, 7128
M, GACHET, Benoît, M3, 6549
M, JESTIN, Charles, M4, 10336
M, MORA, Guy, M1, 9394
M, BOSSARD, Antoine, M2, 4292
M, DECROIX, Anthony, M1, 10765
M, RIEU, Maurice, M3, 10420
M, MIGNON, Benjamin, M5, 6985
M, PERRAUD, Joseph, M5, 9154
M, DASSONVILLE, Denis, ELITE_1, 6171
M, HUET, Eric, ELITE_2, 6991
M, THOUVENIN, Frédéric, M7, 3883
M, GABORIT, René, M2, 6806
M, GOBERT, Denis, M1, 8850
M, BENHAMOU, Mickaël, M5, 9286
M, BOUTON, André, M4, 10113
M, TOUATI, Joseph, M9, 6824
M, MARTI, Ludovic, M9, 8474
M, LANGEVIN, Jean-marie, M1, 5658
M, BENOIST, Jean-françois, M1, 5374
M, ORTIZ, Thierry, M8, 10082
M, LAPEYRE, Grégory, M7, 5506
M, MOMO, Guillaume, M2, 7053
M, HOUSSIN, Xavier, M8, 5924
M, SUEUR, Arnaud, M2, 6333
M, ALLAIS, Cédric, ELITE_1, 9124
M, GALY, Alain, M8, 3643
M, MUNOZ, Jean-luc, M1, 6427
M, BOUTRY, Damien, M9, 10545
M, DUC, Richard, M6, 8545
M, BERTHET, Emile, ELITE_2, 8817
M, COCHARD, Jean-pierre, M6, 8675
M, PERRAULT, Fabrice, ELITE_1, 7821
M, AUTRET, Jérémy, M1, 6642
M, AUGE, Cédric, M6, 3725
M, CHAUVET, Gilbert, M9, 6032
M, BO, Clément, ELITE_2, 8761
M, BARDON, Guy, M8, 7452
M, GALLAND, Jérôme, ELITE_1, 9514
M, FAVREAU, André, M5, 5600
M, BAUDOIN, David, M2, 9263
M, CRESPIN, Frédéric, M9, 9963
M, PAOLI, Maxime, M9, 5745
M, FEVRIER, Bruno, M1, 10084
M, COTTE, Florian, ELITE_1, 7993
M, FROGER, Olivier, M6, 4367
M, PRADEL, Dominique, M1, 5084
M, CHAPRON, Yves, M3, 8894
M, BLANCHET, Thierry, M4, 6328
M, PINEL, Joseph, M2, 5809
M, GALLEN, Eric, M7, 3886
M, PERES, Anthony, M1, 7177
M, LABROUSSE, Bernard, ELITE_1, 5994
M, LANGLAIS, Grégory, M8, 7889
M, GRIMAUD, Cyril, M6, 9094
M, PIERRON, Jean, M1, 10748
M, VINET, Jacques, M8, 9175
M, NICOL, Fabrice, ELITE_1, 9849
M, LE, Benoît, M9, 10604
M, PINON, Loïc, M2, 7596
M, DURIEZ, Joël, M9, 6389
M, JACQUEMIN, Jean, ELITE_1, 7077
M, DASSONVILLE, Henri, M2, 6338
M, JUAN, Arnaud, M2, 4625
M, GODART, Marcel, ELITE_1, 9390
M, VALLON, André, M4, 8191
M, MESTRE, Jean, ELITE_1, 10090
M, VASSEUR, Adrien, M5, 7464
M, CHEREAU, Raymond, ELITE_2, 8371
M, BASTIEN, Guillaume, M4, 7057
M, VERNET, Denis, M5, 8008
M, GUILLET, Arnaud, M7, 9237
M, RUELLE, Didier, M3, 4440
M, CARPENTIER, Jean-paul, M8, 8071
M, ARNAULT, Mickaël, M8, 4528
M, LE, Jean-michel, M9, 7208
M, BOUTEILLE, Jean, ELITE_2, 6563
M, PIGNON, Mathieu, M1, 5362
M, CARO, Anthony, M5, 5276
M, DAVAL, Jean-luc, ELITE_2, 8004
M, NOURY, Frédéric, ELITE_2, 5751
M, BLANDIN, David, M2, 5910
M, CHAUVEAU, Stéphane, M7, 4530
M, WOLFF, Gilbert, M4, 7088
M, GAUTHERON, Christian, M7, 6280
M, GEORGE, Jean-luc, M5, 10511
M, HEBERT, Dominique, M5, 10104
M, PRIGENT, Jérôme, M9, 10410
M, ALLAIN, Cédric, ELITE_1, 4124
M, LECLERCQ, Lionel, M6, 4145
M, LE, Lucien, M2, 6005
M, CARRERE, Jean-claude, M3, 4793
M, COMTE, Emile, ELITE_1, 6184
M, WIART, Lionel, M3, 8712
M, BARRE, Thomas, M1, 9776
M, THOUVENIN, Damien, ELITE_1, 7632
M, PERNOT, Jean-pierre, M4, 10577
M, SABY, Clément, M2, 8740
M, BERNARD, Cyril, M3, 5964
M, GUIOT, Lionel, ELITE_1, 10388
M, DEJARDIN, Jean-pierre, M6, 6942
M, PICHOT, Gilbert, ELITE_1, 4397
M, ROUSSEAU, Jérémy, ELITE_1, 10474
M, GONNET, Eric, M7, 9278
M, ORTIZ, Benjamin, M8, 4579
M, CLAVIER, Nicolas, M9, 9876
M, GEORGE, Serge, M5, 8957
M, BERARD, Raymond, M5, 9485
M, JAMES, Pierre, M1, 7517
M, COUDERT, Paul, M5, 4608
M, LE, Sylvain, M1, 4012
M, POTEL, Roland, M1, 7115
M, FAVRE, Xavier, M2, 7854
M, DURIEUX, Jean-pierre, M8, 9605
M, KOHLER, Alexandre, M4, 7384
M, BRASSEUR, Alexandre, M7, 8575
M, BEAUGRAND, Jonathan, M2, 9031
M, DUVAL, Benjamin, M4, 5132
M, GALLO, Daniel, M3, 8448
M, DECLERCQ, Francis, M2, 9648
M, RAMON, Alexandre, M2, 5482
M, GRANGE, Patrice, M3, 5750
M, GRANIER, Paul, M6, 3901
M, VILLETTE, Jonathan, M2, 4250
M, LETELLIER, Albert, M9, 3733
M, MAES, Jonathan, M6, 9746
M, CADOT, Michel, M4, 4410
M, GRONDIN, Maxime, M4, 6649
M, WAGNER, Pierre, M1, 9790
M, DELALANDE, Nicolas, ELITE_2, 6569
M, CHAPUIS, Patrick, M7, 10523
M, LELEU, Julien, M8, 9288
M, FOURCADE, Vincent, M2, 7979
M, CHAMBON, Bernard, ELITE_1, 3732
M, GONTIER, Henri, M4, 9139
M, DUBUS, Vincent, M2, 4659
M, LEONARD, Fabien, M6, 3799
M, LAURENT, Paul, M3, 9385
M, LE, Xavier, M8, 7229
M, LEBEL, Philippe, M5, 7369
M, BISSON, Jean-michel, M2, 5080
M, CHAUVEL, Franck, ELITE_1, 8364
M, CROS, Emmanuel, M2, 7509
M, CHASSAGNE, Thomas, M3, 9314
M, LAFARGE, Denis, M3, 7137
M, PELLET, Mathieu, M5, 6099
M, CORDONNIER, Jean, M7, 5600
M, FERRON, Christophe, M7, 5177
M, HUMEAU, Daniel, M1, 10545
M, SANTONI, Jérôme, M8, 4311
M, DELORME, Jean-paul, M6, 4845
M, MARQUE, Vincent, ELITE_1, 5214
M, LECA, Serge, M2, 8515
M, CHIRON, Charles, M6, 6436
M, THERON, Emile, M8, 5218
M, PICOT, Paul, M6, 7708
M, BROSSARD, Maxime, M2, 8476
M, ROULET, Serge, ELITE_1, 6019
M, FLEURY, Denis, M7, 10216
M, MONIN, Albert, M5, 3813
M, NEDELEC, Christian, M5, 7361
M, GUERINEAU, Marc, M1, 8681
M, CABOT, Patrick, M1, 4475
M, BRICOUT, Hervé, M4, 3731
M, MENARD, Alain, M3, 4839
M, LANG, Arnaud, M9, 6098
M, DELAUNAY, René, ELITE_2, 8491
M, PANNETIER, David, M9, 3990
M, PINEAU, Gilles, M1, 9187
M, DUBOST, Patrice, M4, 8263
M, THIRIET, Robert, M5, 6122
M, HENRIOT, Fabrice, ELITE_2, 4023
M, REYMOND, Daniel, M3, 7199
M, GUILLON, Roland, M1, 7470
F, LONG, Anna, M7, 6687
F, COUTURIER, Julia, M7, 6602
F, VIGNON, Justine, M9, 5585
F, JACQUES, Lily, M9, 3665
F, BALLAND, Capucine, M3, 7478
F, GAZEAU, Maeva, M9, 10423
F, BOBO, Cloe, M8, 8926
F, ORTEGA, Jeanne, M9, 10018
F, MATHEY, Eloise, M3, 9292
F, BAYLE, Lola, ELITE_2, 8125
F, LECUYER, Anna, M4, 7767
F, LECLERCQ, Emma, M1, 10678
F, GEORGE, Anna, M5, 4790
F, LE, Julia, M4, 5648
F, BERNARD, Loane, M8, 5882
F, BERAUD, Faustine, ELITE_2, 7489
F, NEVEU, Sara, M5, 10769
F, GRANGE, Ambre, ELITE_1, 7205
F, GRIGNON, Ambre, ELITE_2, 7895
F, GILLOT, Cloe, M2, 9002
F, GEORGE, Celia, M9, 5300
F, BERTRAND, Chloe, M1, 9020
F, BORDIER, Lou, M9, 8043
F, CHATELAIN, Clemence, M9, 8554
F, FORET, Clarisse, M1, 7064
F, FLAMENT, Noemie, M6, 4352
F, ESCOFFIER, Julie, M1, 5751
F, FOULON, Melina, M7, 9105
F, PINARD, Margaux, ELITE_2, 8603
F, GAMBIER, Louna, M5, 10112
F, CHAPELLE, Chloe, M3, 9578
F, SEGURA, Coline, M7, 9479
F, SENE, Elise, M4, 6823
F, GILLET, Claire, M9, 4874
F, PIRIOU, Lise, M7, 7295
F, BARTHE, Juliette, M7, 6419
F, CLAVEL, Elsa, ELITE_1, 6719
F, PONCET, Lena, M3, 8175
F, ORTIZ, Nina, M1, 4376
F, DURANT, Justine, ELITE_1, 8139
F, MOURET, Juliette, M6, 7734
F, BONNOT, Marine, M2, 6758
F, MATHIS, Fanny, M3, 7617
F, PAPON, Manon, M7, 5253
F, GODET, Louane, M3, 6787
F, PAJOT, Emma, M9, 10252
F, POLO, Fanny, M1, 9852
F, GRAFF, Lana, M9, 9829
F, SALLE, Margot, M5, 7957
F, CHABANNE, Eloise, ELITE_2, 8947
F, MARECHAL, Melissa, M9, 3739
F, VALLEE, Laura, M8, 9612
F, JEGOU, Meline, M3, 5633
F, CHABAUD, Margaux, ELITE_1, 8690
F, GUTIERREZ, Lilou, M3, 9939
F, CHABAUD, Louane, M1, 5904
F, BLOUIN, Clemence, M8, 7291
F, BEAULIEU, Lea, M5, 10626
F, BLIN, Gabrielle, ELITE_2, 4592
F, NGUYEN, Claire, M8, 10695
F, ROCH, Louane, M1, 9680
F, ADAM, Luna, M1, 9965
F, BROCHARD, Eloise, M8, 6081
F, BAUDIN, Gabrielle, M3, 4074
F, SEITE, Adele, M8, 9349
F, PROVOST, Elise, M6, 4672
F, POTIN, Eloise, M3, 5299
F, NEUVILLE, Noemie, M6, 3939
F, PASQUIER, Clarisse, M8, 8775
F, VAUTRIN, Salome, M2, 9747
F, CHATELET, Laura, ELITE_1, 8329
F, LACOSTE, Eloise, M3, 8815
F, LA, Marine, M3, 4021
F, CALVET, Lana, M4, 4381
F, BERNET, Sofia, M3, 8937
F, LO, Elena, M2, 10703
F, GIBERT, Laurine, M9, 3965
F, RIBOT, Nina, M6, 8735
F, CHAUVET, Lina, ELITE_1, 9032
F, BLAIS, Andrea, M5, 8730
F, LAURENT, Marine, M5, 8575
F, MARTI, Yasmine, M4, 7663
F, TISSIER, Luna, M8, 6567
F, MARIN, Chloe, ELITE_2, 5963
F, GARIN, Amelie, M1, 7072
F, PHILIPPE, Cloe, M6, 9206
F, VANNIER, Noemie, M6, 7809
F, PASCAL, Lana, M2, 8977
F, DIETRICH, Agathe, M6, 5332
F, BACHELIER, Ines, M6, 4543
F, DELMAS, Eva, ELITE_1, 5093
F, POULAIN, Margaux, M5, 4231
F, BETTON, Amandine, M5, 9387
F, BAUDUIN, Ines, M2, 4880
F, GONTHIER, Lilou, M2, 10672
F, FERRIER, Melina, M3, 6522
F, CARTIER, Clara, M3, 5460
F, LUC, Loane, M7, 5257
F, ADAM, Capucine, M8, 3935
F, CARLE, Marion, ELITE_1, 10096
F, BERTHIER, Eva, M2, 8134
F, DAUPHIN, Lena, ELITE_2, 6958
F, FAYARD, Lina, M5, 10677
F, GUIOT, Clementine, M8, 9876
F, ROUGIER, Nina, M2, 6985
F, GILLOT, Louna, M1, 8204
F, DE, Noemie, ELITE_1, 9675
F, DUCOS, Romane, M7, 9344
F, BRION, Leane, M3, 5337
F, BIZET, Sarah, M7, 8186
F, KREMER, Lea, M5, 4768
F, MEYER, Rose, M3, 3619
F, ROUX, Clemence, M7, 6195
F, SEGURA, Emilie, M7, 6761
F, DIOT, Lilou, M6, 6648
F, ROUSSEL, Claire, ELITE_1, 5286
F, CORNET, Yasmine, M2, 7415
F, NEUVILLE, Morgane, ELITE_1, 8595
F, VAUTRIN, Meline, M9, 9646
F, CAMUS, Capucine, M8, 9470
F, NGUYEN, Emilie, M2, 5891
F, CORDIER, Lena, M3, 4584
F, LAFARGUE, Lucie, M5, 4004
F, CLAIR, Coline, ELITE_2, 10165
F, GUINOT, Lilou, M6, 6647
F, DUBOS, Nina, M6, 4891
F, HERBIN, Lilou, M1, 8176
F, HUCHET, Clemence, M9, 10313
F, SOUCHON, Eloise, M1, 5067
F, GAUTHIER, Candice, M4, 7728
F, FORET, Romane, M2, 5789
F, GUILLOUX, Lola, M7, 6430
F, DOUBLET, Flavie, M8, 5106
F, MIGNOT, Melissa, M2, 8366
F, POIROT, Alicia, ELITE_2, 8733
F, CHRETIEN, Sara, M4, 8417
F, LEPRETRE, Lina, ELITE_2, 5882
F, MALET, Zoe, M2, 6762
F, JOUBERT, Lina, M9, 7517
F, PRUDHOMME, Lily, M7, 9875
F, MANGIN, Fanny, M2, 4260
F, ESCOFFIER, Marie, M4, 5750
F, LANGLOIS, Morgane, M5, 4527
F, PRUNIER, Charlotte, M3, 7660
F, BERNE, Clementine, M1, 7540
F, MONTEIRO, Charlotte, ELITE_2, 4831
F, BOREL, Emilie, M8, 8265
F, GIL, Heloise, M1, 5422
F, HUYNH, Louane, ELITE_1, 6869
F, LAMOTTE, Jeanne, M5, 9387
F, PAPON, Margaux, M4, 8578
F, GEOFFROY, Charlotte, ELITE_2, 4648
F, COUDRAY, Melina, M7, 4978
F, SANTOS, Margot, M6, 9010
F, GIL, Margot, M9, 7953
F, BLANCHARD, Leane, ELITE_1, 9562
F, PIRES, Lilou, ELITE_1, 9439
F, COLAS, Cassandra, M7, 8387
F, WEISS, Louise, ELITE_2, 7376
F, FERRARI, Elise, M3, 10615
F, LAFARGUE, Louane, M1, 8392
F, BOUILLET, Lily, M5, 9644
F, LAGADEC, Morgane, M2, 7610
F, GRIGNON, Cassandra, M2, 10525
F, BOUET, Lily, ELITE_1, 4286
F, FERET, Olivia, M7, 8728
F, BOISSEAU, Celia, M3, 4145
F, GUILLOTIN, Anna, M4, 9888
F, ROZE, Emilie, M3, 7937
F, RENAUDIN, Cassandra, M5, 5631
F, DUMORTIER, Eloise, M3, 7945
F, LAGRANGE, Louane, ELITE_1, 5229
F, DANEL, Ninon, M9, 10080
F, BACHELIER, Salome, ELITE_2, 6773
F, DION, Yasmine, M9, 4856
F, BARTH, Marion, M5, 10681
